sample_id,dataset,question,gold_answer,rlm_response,score,correct,extracted_answer,parse_confidence,execution_time,input_tokens,output_tokens,total_tokens
0,trec_coarse,"In the above data, which of the labels is the most common? Give your final answer in the form 'Label: answer' where answer is one of the labels: abbreviation, entity, human being, numeric value, location, description and abstract concept.",['abbreviation'],abbreviation,1,TRUE,abbreviation,vhigh,78.78409979,4292,2078,6370
1,trec_coarse,"In the above data, which of the labels is the least common? Give your final answer in the form 'Label: answer' where answer is one of the labels: abbreviation, entity, human being, numeric value, location, description and abstract concept.",['location'],Label: abstract concept,0,FALSE,abstract concept,vhigh,83.57648879,3392,2360,5752
2,trec_coarse,"In the above data, is label 'abbreviation' more common, less common, or the same frequency as label 'entity'? Give your final answer in the form 'Answer: abbreviation is [X] entity', where [X] is 'more common than', 'less common than', or 'same frequency as'.",['more common than'],Answer: abbreviation is same frequency as entity,0,FALSE,same frequency,high,35.15730646,2777,879,3656
3,trec_coarse,"In the above data, is label 'abbreviation' more common, less common, or the same frequency as label 'human being'? Give your final answer in the form 'Answer: abbreviation is [X] human being', where [X] is 'more common than', 'less common than', or 'same frequency as'.",['more common than'],Answer: abbreviation is more common than human being,1,TRUE,more common,high,93.09661883,9974,2591,12565
4,trec_coarse,"In the above data, is label 'abbreviation' more common, less common, or the same frequency as label 'numeric value'? Give your final answer in the form 'Answer: abbreviation is [X] numeric value', where [X] is 'more common than', 'less common than', or 'same frequency as'.",['more common than'],Answer: abbreviation is same frequency as numeric value,0,FALSE,same frequency,high,142.8569156,4412,4063,8475
5,trec_coarse,"In the above data, is label 'abbreviation' more common, less common, or the same frequency as label 'location'? Give your final answer in the form 'Answer: abbreviation is [X] location', where [X] is 'more common than', 'less common than', or 'same frequency as'.",['more common than'],Answer: abbreviation is same frequency as location,0,FALSE,same frequency,high,35.07854046,2835,952,3787
6,trec_coarse,"In the above data, is label 'abbreviation' more common, less common, or the same frequency as label 'description and abstract concept'? Give your final answer in the form 'Answer: abbreviation is [X] description and abstract concept', where [X] is 'more common than', 'less common than', or 'same frequency as'.",['more common than'],Answer: abbreviation is same frequency as description and abstract concept,0,FALSE,same frequency,high,112.8150452,4112,3193,7305
7,trec_coarse,"In the above data, is label 'entity' more common, less common, or the same frequency as label 'human being'? Give your final answer in the form 'Answer: entity is [X] human being', where [X] is 'more common than', 'less common than', or 'same frequency as'.",['more common than'],Answer: entity is same frequency as human being,0,FALSE,same frequency,high,24.18429387,2708,677,3385
8,trec_coarse,"In the above data, is label 'entity' more common, less common, or the same frequency as label 'numeric value'? Give your final answer in the form 'Answer: entity is [X] numeric value', where [X] is 'more common than', 'less common than', or 'same frequency as'.",['more common than'],Answer: entity is same frequency as numeric value,0,FALSE,same frequency,high,28.37622283,2708,782,3490
9,trec_coarse,"In the above data, is label 'entity' more common, less common, or the same frequency as label 'location'? Give your final answer in the form 'Answer: entity is [X] location', where [X] is 'more common than', 'less common than', or 'same frequency as'.",['more common than'],Answer: entity is more common than location,1,TRUE,more common,high,151.4201019,4748,4237,8985
10,trec_coarse,"In the above data, is label 'entity' more common, less common, or the same frequency as label 'description and abstract concept'? Give your final answer in the form 'Answer: entity is [X] description and abstract concept', where [X] is 'more common than', 'less common than', or 'same frequency as'.",['same frequency as'],Answer: entity is same frequency as description and abstract concept,1,TRUE,same frequency,high,80.54863783,9633,1944,11577
11,trec_coarse,"In the above data, is label 'human being' more common, less common, or the same frequency as label 'numeric value'? Give your final answer in the form 'Answer: human being is [X] numeric value', where [X] is 'more common than', 'less common than', or 'same frequency as'.",['same frequency as'],Answer: human being is same frequency as numeric value,1,TRUE,same frequency,high,39.97730767,2710,1042,3752
12,trec_coarse,"In the above data, is label 'human being' more common, less common, or the same frequency as label 'location'? Give your final answer in the form 'Answer: human being is [X] location', where [X] is 'more common than', 'less common than', or 'same frequency as'.",['more common than'],Answer: human being is more common than location,1,TRUE,more common,high,152.2808596,4162,3828,7990
13,trec_coarse,"In the above data, is label 'human being' more common, less common, or the same frequency as label 'description and abstract concept'? Give your final answer in the form 'Answer: human being is [X] description and abstract concept', where [X] is 'more common than', 'less common than', or 'same frequency as'.",['less common than'],Answer: human being is same frequency as description and abstract concept,0,FALSE,same frequency,high,41.23083592,2714,1092,3806
14,trec_coarse,"In the above data, is label 'numeric value' more common, less common, or the same frequency as label 'location'? Give your final answer in the form 'Answer: numeric value is [X] location', where [X] is 'more common than', 'less common than', or 'same frequency as'.",['more common than'],Answer: numeric value is same frequency as location,0,FALSE,same frequency,high,28.61613442,2708,769,3477
15,trec_coarse,"In the above data, is label 'numeric value' more common, less common, or the same frequency as label 'description and abstract concept'? Give your final answer in the form 'Answer: numeric value is [X] description and abstract concept', where [X] is 'more common than', 'less common than', or 'same frequency as'.",['less common than'],Answer: numeric value is same frequency as description and abstract concept,0,FALSE,same frequency,high,39.11016442,2714,1015,3729
